model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
ait,11,complete,13765,166.98980535101146,15.788492797873914,False,0.7621494308114052,0.7621494308114052,1.434976737946272,2.8944420516490936,2.0457499655894935,26.99831418134272,1.6592525069912274,2.2493410414705672,35.03293822457393,0.4516620659499008,0.5309769067301728,0.0,3.0278761741673748,0.0
anchored_hold,11,complete,112570,187.09784417087212,32.39847234683111,False,0.7040188312530518,0.7040188312530518,1.3618607614189386,1.3290374167263508,1.9401496280916035,1.8499614247120917,1.5811414048075676,2.1329125836491585,2.023602760707339,0.4891086471151318,0.40496005315463374,0.0,2.526324358326235,0.0
attention_concat,11,complete,13765,144.38251550216228,13.579520997125655,False,0.7680052891373634,0.7680052891373634,1.5202215686440468,2.7440840136259794,2.26735274028033,8.796239092946053,1.7709603284796078,2.5163964641590915,10.813624119386077,0.4185642011066866,0.62186632576086,0.0,2.711307572310716,0.0
direct,11,complete,102928,6.728927934076637,0.9415592788718641,False,0.6538725346326828,,1.262716656550765,,1.8002356286160648,,1.4656646971901257,1.979408619304498,,0.4827907550969773,0.44568427111630643,2.9163041612429197,7.828830493906992,0.0
direct_no_action,11,complete,98832,6.540720144752413,0.8900840887799859,False,0.6722129955887794,,1.2893979903310537,,1.8212156211957335,,1.4951263219118118,1.9984881648172934,,0.4909916996250491,0.4008931106650537,0.0,1.6947356216992375,0.2727272727272727
gru,11,complete,18389,63.63926216494292,6.026689400430769,False,0.6898701041936874,0.6898701041936874,1.2961412705481052,1.4618225041776896,1.79594263760373,2.422335329465568,1.4982316593329112,1.9625430932889383,2.7425062712281942,0.4207426471823066,0.6149993840397686,0.0,3.591748459906171,0.0
persistence,11,complete,0,0.0,0.1582868993282318,False,1.075048677623272,1.075048677623272,1.5878667123615742,1.5878667123615742,2.0519903264939785,2.0519903264939785,1.7588060572743416,2.2066981978714466,2.2066981978714466,0.5338044853135209,,0.0,0.0,1.0
r4,11,complete,9642,180.36891623679549,16.254237534012645,False,0.7264585644006729,0.7264585644006729,1.3585862386971712,1.3009952958673239,1.9865855732932687,1.8366640023887157,1.5692954634626706,2.195918684825301,2.0152202378958464,0.45114705642534664,0.5412030358872001,0.0,2.526324358326235,0.0
r4_directref,11,complete,108474,177.53192509897053,10.77997842989862,False,0.6733609214425087,,1.2848016303032637,,1.801268367562443,,1.4886151999235153,1.9734239466488361,,0.48604841486236755,0.42495823102903957,0.0,1.094449197308677,0.0
r4_mlp,11,complete,18117,180.02531893691048,15.914394622668624,False,0.7234217673540115,0.7234217673540115,1.257503665983677,1.2634490132331848,1.7000935790129006,1.7775284089148045,1.4355309655268986,1.847623550022642,1.9488882074753444,0.4413876782742713,0.5922638310963497,0.0,2.5883140284159936,0.0
ssm,11,complete,16453,63.617270765826106,6.199746986851096,False,0.64383614808321,0.64383614808321,1.1883936394006014,1.197928473353386,1.6029000524431467,1.7466624551452696,1.3699128031730652,1.7410688567906618,1.929573782409231,0.38903008316160426,0.6742068979610004,0.0,2.068741411928954,0.0
