model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
A_balanced,11,complete,16453,293.5778643907979,6.090929660014808,False,0.5760591179132462,0.5760591179132462,1.2246148493140936,1.2804712057113647,1.8070717984810472,1.8836369989439845,1.440800093114376,2.001224114870032,2.084692263354858,0.3549580174320078,0.7321778122132417,0.0,4.753473867754394,0.0
A_short,11,complete,16453,293.5778643907979,6.401662653312087,False,0.5763704404234886,0.5763704404234886,1.1900742538273335,1.2924534156918526,1.69871213613078,1.8934195307083428,1.3946421916286151,1.8682580968985956,2.093741569047173,0.35629649275153347,0.7292215300173722,0.0,4.596528819288153,0.0
B_balanced,11,complete,23077,456.4942471352406,5.965787263121456,False,0.527596153318882,0.527596153318882,0.9838781747967005,1.207338146865368,1.4683728720992804,1.7984802722930908,1.1359721819559734,1.6298711045334737,1.9955276474356651,0.35985498409534583,0.7224317714958671,0.0,4.956805168968799,0.0
B_short,11,complete,23077,456.4942471352406,6.074485771823674,False,0.5171839892864227,0.5171839892864227,0.9789482466876507,1.208342457190156,1.474693102762103,1.7958952700719237,1.1328696658213933,1.6399413881202538,1.9917462076991796,0.35896743496023925,0.7228214255764975,0.0,5.124603496921793,0.0
C_balanced,11,complete,26095,1150.8713596859016,19.936877288855612,False,0.5912421345710754,0.5912421345710754,1.1821028012782335,1.2228354811668396,1.6959239412099123,1.7580424672923982,1.3790563568472862,1.8671976545204718,1.9364447960009177,0.3873248603452122,0.6759061519673684,0.0,0.0,0.03409090909090909
C_short,11,complete,26095,1150.8713596859016,19.716276082210243,False,0.5965823605656624,0.5965823605656624,1.1798623017966747,1.2304665707051754,1.6716881524771452,1.7563562002032995,1.374288948873679,1.8356301027039688,1.931652743369341,0.38399090569400224,0.67999894541484,0.0,0.0,0.03409090909090909
D_balanced,11,complete,32719,1553.3403848479502,19.62159989727661,False,0.5464086905121803,0.5464086905121803,1.0523774940520525,1.1767671443521976,1.5772433271631598,1.7935124728828669,1.2210337618986766,1.7521986048668623,1.9990942490597565,0.38738465215092344,0.6652052283346521,0.0,0.0,0.03409090909090909
D_short,11,complete,32719,1553.3403848479502,20.419334216043353,False,0.5424740388989449,0.5424740388989449,1.050916388630867,1.177183873951435,1.5740100997500122,1.7827307689003646,1.220397171874841,1.7483746701230605,1.984579733883341,0.3872842708753176,0.6663770426602043,0.0,0.0,0.03409090909090909
