arm,seed,valve,horizon,mean_delta_c,ci_lo_c,ci_hi_c,ci_category,unsupported_steps,baseline_unsupported_steps,unsupported_windows,n_windows,all_steps_supported
physics_only,0,1,18,0.015570555813610554,0.009430060163140297,0.022366607561707497,positive,18,0,1,64,False
physics_only,0,1,60,-0.002398062963038683,-0.006968451663851738,0.0014524016296491027,crosses_zero,120,0,2,64,False
physics_only,0,2,18,0.05982893332839012,0.0503864586353302,0.0691991075873375,positive,18,0,1,64,False
physics_only,0,2,60,0.006345596630126238,-0.0014396288897842169,0.013957244344055653,crosses_zero,120,0,2,64,False
closure_cons,0,1,18,-0.10143470019102097,-0.14083713293075562,-0.06493160873651505,negative,18,0,1,64,False
closure_cons,0,1,60,-0.09433306753635406,-0.13260549306869507,-0.06137010455131531,negative,120,0,2,64,False
closure_cons,0,2,18,-0.028203653171658516,-0.05395124852657318,-0.003627222031354904,negative,18,0,1,64,False
closure_cons,0,2,60,0.006344730965793133,-0.02700190432369709,0.04516015574336052,crosses_zero,120,0,2,64,False
closure_cons_norew,0,1,18,-0.09201181679964066,-0.10499127954244614,-0.08025675266981125,negative,18,0,1,64,False
closure_cons_norew,0,1,60,-0.2718343138694763,-0.29526928067207336,-0.24561893939971924,negative,120,0,2,64,False
closure_cons_norew,0,2,18,-0.06312797963619232,-0.07541938871145248,-0.05047663673758507,negative,18,0,1,64,False
closure_cons_norew,0,2,60,-0.11426206678152084,-0.13649170100688934,-0.09057196974754333,negative,120,0,2,64,False
physics_only,1,1,18,0.01075984351336956,0.00535229267552495,0.017576348036527634,positive,90,18,5,64,False
physics_only,1,1,60,-0.0013542926171794534,-0.004776251036673784,0.0017085345461964607,crosses_zero,0,0,0,64,True
physics_only,1,2,18,0.06175636500120163,0.052464280277490616,0.07137509435415268,positive,36,0,2,64,False
physics_only,1,2,60,0.001423790236003697,-0.00624418631196022,0.00951750110834837,crosses_zero,180,0,3,64,False
closure_cons,1,1,18,-0.047957781702280045,-0.08084631711244583,-0.021280257031321526,negative,90,18,5,64,False
closure_cons,1,1,60,-0.11277291178703308,-0.19277511537075043,-0.041522346436977386,negative,0,0,0,64,True
closure_cons,1,2,18,-0.05484091490507126,-0.0930984690785408,-0.017963098362088203,negative,36,0,2,64,False
closure_cons,1,2,60,-0.16193494200706482,-0.24526451528072357,-0.06879650056362152,negative,180,0,3,64,False
closure_cons_norew,1,1,18,-0.08442198485136032,-0.0934370905160904,-0.07634461671113968,negative,90,18,5,64,False
closure_cons_norew,1,1,60,-0.24236734211444855,-0.2603095769882202,-0.22653454542160034,negative,0,0,0,64,True
closure_cons_norew,1,2,18,-0.0848064050078392,-0.09338729083538055,-0.07610850781202316,negative,36,0,2,64,False
closure_cons_norew,1,2,60,-0.16089197993278503,-0.1851799041032791,-0.1382536143064499,negative,180,0,3,64,False
physics_only,2,1,18,0.012776186689734459,0.006147689186036587,0.019972169771790504,positive,72,18,4,64,False
physics_only,2,1,60,0.0023833378218114376,0.0011768715921789408,0.003616012167185545,positive,180,0,3,64,False
physics_only,2,2,18,0.057722534984350204,0.046874891966581345,0.07080060988664627,positive,90,0,5,64,False
physics_only,2,2,60,-0.006827126257121563,-0.01300492137670517,-8.245540811913088e-05,negative,120,0,2,64,False
closure_cons,2,1,18,-0.05751736834645271,-0.08952945470809937,-0.028104273602366447,negative,72,18,4,64,False
closure_cons,2,1,60,-0.05013831704854965,-0.08047705143690109,-0.0227705929428339,negative,180,0,3,64,False
closure_cons,2,2,18,-0.025290759280323982,-0.05094296857714653,0.01046596746891737,crosses_zero,90,0,5,64,False
closure_cons,2,2,60,-0.04524032026529312,-0.10596153885126114,0.018734032288193703,crosses_zero,120,0,2,64,False
closure_cons_norew,2,1,18,-0.1026458740234375,-0.12226402014493942,-0.08437467366456985,negative,72,18,4,64,False
closure_cons_norew,2,1,60,-0.3246709704399109,-0.37061455845832825,-0.2822500169277191,negative,180,0,3,64,False
closure_cons_norew,2,2,18,-0.07815244793891907,-0.08650252968072891,-0.06816871464252472,negative,90,0,5,64,False
closure_cons_norew,2,2,60,-0.30472177267074585,-0.34104275703430176,-0.26403844356536865,negative,120,0,2,64,False
