base,arm,seed,point,ci_lo,ci_hi,n_days,local_recompute
closure_cons,closure_cons_norew,0,0.3055717349052429,0.18655633926391602,0.4321143627166748,13,MATCH_WITHIN_1E-6
physics_only,closure_cons,0,-0.10753899067640305,-0.19364550709724426,-0.02305990271270275,13,MATCH_WITHIN_1E-6
closure_cons,closure_cons_norew,1,0.3745511770248413,0.23450763523578644,0.5307455658912659,13,MATCH_WITHIN_1E-6
physics_only,closure_cons,1,-0.16786926984786987,-0.2575225532054901,-0.08337177336215973,13,MATCH_WITHIN_1E-6
closure_cons,closure_cons_norew,2,0.20257852971553802,0.0794384554028511,0.3579946458339691,13,MATCH_WITHIN_1E-6
physics_only,closure_cons,2,-0.08369898796081543,-0.14246900379657745,-0.030467582866549492,13,MATCH_WITHIN_1E-6
