arm,seed,valve,horizon,seconds,response,day_ci_low,day_ci_high,n_windows,unsupported,dose_min,dose_max
blackbox_itransformer,0,1,1,10,-6.799942407852563e-05,-8.811168181590545e-05,-4.616566193409454e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,2,20,-0.00015000563401442309,-0.00020102672087840545,-0.00011140089768629811,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,3,30,-0.00010434664212740385,-0.0001262185512444912,-7.940928141276043e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,4,40,8.568396935096157e-06,-4.659603803585737e-05,4.898462540064102e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,5,50,-5.6027143429487184e-05,-0.00011300893930288463,-5.770952273637837e-06,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,6,60,-3.615159254807693e-05,-8.641952123397434e-05,1.2555244641426252e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,7,70,2.820919721554487e-05,-5.4700802534054506e-05,9.86001430413662e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,8,80,-0.0002892127403846154,-0.0004091116098257211,-0.00017996763571714741,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,9,90,-0.0003684410682091345,-0.00048259637294671465,-0.00026752080672826523,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,10,100,-0.00033244597606169865,-0.0004453805776742789,-0.00023831685384114584,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,11,110,-0.00041856032151442305,-0.0005786602313701923,-0.00027565198066907055,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,12,120,-0.00047959547776442305,-0.0006482324844751602,-0.0003353510147485978,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,13,130,-0.0003854213616786859,-0.0005705857888246193,-0.00023140931740785263,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,14,140,-0.00042744171925080125,-0.0006866279015174279,-0.00021588252140925486,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,15,150,-0.00032735971304086533,-0.000578440152681791,-0.00012886829865284453,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,16,160,-0.00024840526091746796,-0.000512101589105068,-3.3587920360076144e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,17,170,-0.00024398412459935895,-0.000503986065204327,-3.9275731795873464e-05,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,1,18,180,1.2911283052884603e-05,-0.0002875303610777244,0.0002450287647736377,64,0,0.04999999701976776,0.050000011920928955
blackbox_itransformer,0,2,1,10,0.00016948993389423082,0.00014749771509415066,0.00019500145545372596,64,0,0.04999998211860657,0.050000011920928955
blackbox_itransformer,0,2,2,20,0.000164794921875,0.0001271526630108173,0.0001971142108623798,64,0,0.04999998211860657,0.050000011920928955
blackbox_itransformer,0,2,3,30,0.0002551739032451923,0.0002347447321965144,0.0002786567883613782,64,0,0.04999998211860657,0.050000011920928955
blackbox_itransformer,0,2,4,40,0.000496223645332532,0.0004620625422551081,0.0005393923245943509,64,0,0.04999998211860657,0.050000011920928955
blackbox_itransformer,0,2,5,50,0.0005859375,0.0005029766376201922,0.0006804793920272436,64,0,0.04999998211860657,0.050000011920928955
blackbox_itransformer,0,2,6,60,0.0006577320587940704,0.0005355766492012219,0.0008040990584935898,64,0,0.04999998211860657,0.050000011920928955
