candidate,baseline,seed,difference,ci95_low,ci95_high,days
blackbox_itransformer,greybox_steady_none,0,-0.6051905259716774,-0.8427801977373793,-0.3828879418647104,13
blackbox_itransformer,greybox_steady_none,1,-0.586731941714705,-0.8248832059478817,-0.37431204636678794,13
blackbox_itransformer,greybox_steady_none,2,-0.6040090694815993,-0.8399604474163949,-0.3840630836122665,13
blackbox_itransformer,fusion_gru_norew,0,-0.06786808446136777,-0.10767838229880256,-0.026841000947360485,13
blackbox_itransformer,fusion_gru_norew,1,-0.04604453148234874,-0.09330310728846418,0.0017574630482724513,13
blackbox_itransformer,fusion_gru_norew,2,-0.10358626622983011,-0.13700629046643906,-0.06650027986585132,13
blackbox_itransformer,fusion_token_xattn_norew,0,-0.33509729939694183,-0.39261817706260727,-0.2729200753510168,13
blackbox_itransformer,fusion_token_xattn_norew,1,-0.25841948573488616,-0.30859296945309933,-0.21202250813792475,13
blackbox_itransformer,fusion_token_xattn_norew,2,-0.2574978568876324,-0.30612835471723554,-0.20318814172403726,13
greybox_steady_none,fusion_gru_norew,0,0.5373224415103098,0.3183406672555881,0.7838347961945185,13
greybox_steady_none,fusion_gru_norew,1,0.5406874102323563,0.341453457621785,0.7560638937084199,13
greybox_steady_none,fusion_gru_norew,2,0.500422803251769,0.2992105694316664,0.7247786731084263,13
greybox_steady_none,fusion_token_xattn_norew,0,0.27009322657473567,0.05920747615054243,0.49840180418309127,13
greybox_steady_none,fusion_token_xattn_norew,1,0.32831245597981884,0.13115972227143444,0.544296357316255,13
greybox_steady_none,fusion_token_xattn_norew,2,0.34651121259396683,0.13616964352616512,0.5743602887141804,13
fusion_gru_norew,fusion_token_xattn_norew,0,-0.2672292149355741,-0.32896118315323236,-0.2097922702368768,13
fusion_gru_norew,fusion_token_xattn_norew,1,-0.21237495425253747,-0.26937006877763897,-0.15534595135321083,13
fusion_gru_norew,fusion_token_xattn_norew,2,-0.1539115906578023,-0.19320140926563828,-0.11898949688984464,13
