model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
P0_balanced,11,complete,18139,3522.428394723218,5.214072658214718,False,0.7080462202429771,0.7080462202429771,1.2576633393764496,1.2576633393764496,2.7444298062473536,2.7444298062473536,1.4408690457542737,3.240018628537655,3.240018628537655,0.5283412251481878,0.16902524664468369,0.0,0.0,0.0
P0_short,11,complete,18139,3522.428394723218,5.250759137794375,False,0.7144974172115326,0.7144974172115326,1.2648603972047567,1.2648603972047567,2.7156738783232868,2.7156738783232868,1.4483147238691647,3.1992783720294633,3.1992783720294633,0.528207521231687,0.16989755203398535,0.0,0.0,0.0
P1_balanced,11,complete,30881,3113.5701197008602,5.239067594055086,False,0.7280369475483894,0.7280369475483894,1.2742346618324518,1.2742346618324518,2.6515893656760454,2.6515893656760454,1.456300566593806,3.1107076002905765,3.1107076002905765,0.5283772498663125,0.16680694748592229,0.0,0.0,0.0
P1_short,11,complete,30881,3113.5701197008602,5.256664453074336,False,0.7151518985629082,0.7151518985629082,1.248531887307763,1.248531887307763,2.574166100472212,2.574166100472212,1.4263252168893814,3.016044171527028,3.016044171527028,0.5284089252088197,0.16583212708718553,0.0,0.0,0.0
P2_balanced,11,complete,18139,6216.338963393122,5.303236740175635,False,0.7347486168146133,0.7347486168146133,1.2630128096789122,1.2630128096789122,2.6834841039963067,2.6834841039963067,1.4391008739670117,3.156974535435438,3.156974535435438,0.5299132820182063,0.15536605932773176,0.0,0.0,0.0
P2_short,11,complete,18139,6216.338963393122,5.189146616961807,False,0.7281401976943016,0.7281401976943016,1.2562049627304077,1.2562049627304077,2.5928136869333684,2.5928136869333684,1.4322265510757763,3.0383499283343554,3.0383499283343554,0.5291344743273432,0.161741622005768,0.0,0.0,0.0
