model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
r4_protected,11,complete,36234,180.02531893691048,34.49705218942836,False,0.7234217673540115,0.7234217673540115,1.2614330258220434,1.2634490132331848,1.7469734083861113,1.7775284089148045,1.440770111978054,1.9088202025741339,1.9488882074753444,0.47037789149162096,0.5288851081825129,0.0,0.0,0.0
ssm_continue,11,complete,16453,142.20176367880777,7.65300462115556,False,0.622478798031807,0.622478798031807,1.200045894831419,1.2388086188584566,1.8204548540525138,1.8489847918972373,1.3925682604312897,2.0272578404595456,2.052376849576831,0.37380042583984735,0.6999490541582848,0.0,2.9434404883627394,0.0
ssm_protected,11,complete,34570,243.6425897027366,23.96021312614903,False,0.7878202572464943,0.7878202572464943,1.3353076837956905,1.3529580533504486,1.7724331500940025,1.8600307693704963,1.5178034926454227,1.9181416388601065,2.0290550080438456,0.49703676695889504,0.42197839732416875,0.0,0.0,0.0
ssm_r4_joint,11,complete,34570,531.0268880617805,23.63796888710931,False,0.67098218947649,0.67098218947649,1.2415739838033915,1.2763208597898483,1.8588483040221035,1.8661312418989837,1.4317712485790253,2.0646064107616744,2.062734702602029,0.43916048570967753,0.5849657322141485,0.0,0.0,0.0
ssm_r4_teacher,11,complete,34570,600.2062315149233,23.96278841700405,False,0.6593954563140869,0.6593954563140869,1.2255782652646303,1.267444372177124,1.848599593155086,1.8673861366696656,1.4143058682481449,2.0562733691185713,2.067366724833846,0.4470693411441479,0.5716955531565714,0.0,0.0,0.0
ssm_soft_response,11,complete,16453,528.6327220178209,8.592052630148828,False,0.6544439047574997,0.6544439047574997,1.222660604864359,1.2709709964692593,1.7039815499447286,1.8454156061634421,1.4120661715666454,1.8644218649715185,2.03689714272817,0.4311063538876746,0.6021577361592398,0.0,2.628948441468424,0.0
